…………あの？　どうかしたんですか？= …………那？怎么了？
…………違うことが、したくなったんですか？= …………您想做些不同的事情吗？
吊るされては、自由に動けないですね= 当你被暂停时你不能自由移动 
吊るされるのって……なんだか怖いですね= 被吊起来有点可怕。。。
同時にイキましたね……お疲れ様でした= 同时我也很激动。。。谢谢你们的努力 
同時に入れられてしまうんですね= 会同时放进去
同時に感じてしまいましたね= 我同时感受到了 
同時に気持ち良くなれて、嬉しいです= 我很高兴能够同时感觉更好
吐いている所、見てくれましたか？= 你看到我呕吐的地方了吗？
吐き出すところが、見たかったんですか？= 你想看我吐出来吗？
咳き込んでしまって……ごめんなさい= 不好意思我咳嗽了...
咽てしまったら、ごめんなさい= 如果我噎住了对不起
問題ありません……むしろ興奮してるくらいです= 没问题...我非常兴奋
垂れてきてます……火傷しそうなくらい熱いです= 滴滴答答的。。。烫到你了 
声を出せないのって……辛いんですね……= 不能说话……很痛苦……
多分バレてはないと思うんですが……心配です……= 我不认为它被发现了，但是......我很担心......
大きいから揉みごたえがありますか？　もっと好きにして下さい= 是不是因为大所以很难揉？爱我多一点
大きいですね……私の口に入りきるでしょうか……= 好大。。。能塞进嘴里吗。。
大きい胸……堪能して下さいね= 巨乳...请尽情享用
大きい胸……激しく揉み解して下さい= 巨乳……请用力按摩
大きい胸で……こね回しますね= 配巨乳…揉捏
大きい胸で……擦ってあげますから= 靠着我的巨乳…我给你揉
大きな声が……漏れて、しまいそうです……= 一个响亮的声音……漏了，好像没了……
大丈夫です……頑張って、速度をキープしますから……= 没关系...我会尽量保持速度...
大丈夫です、お付き合いします= 没关系，我会再见
大丈夫です、さぁ、来て下さい= 没关系，快来吧
大丈夫ですか？　でも、これくらい強い方が感じますよね？= 好的？但你感觉比这更强大，对吧？
大丈夫ですよ= 没关系 
大丈夫ですよ……ゆっくり時間を使って下さい= 没关系...请慢慢利用你的时间
大丈夫ですよ、いってもいいですからね= 没关系，你说吧
大丈夫ですよ、また何回でも射精して下さいね= 没关系，射多少次都行
大丈夫ですよ、根元までしっかり咥え込みますから= 放心，我会一直抱着你到根
大勢で一緒にいけるのって、気持ちがいいですね= 能和很多人一起去的感觉真好
大変なことにならないように、気を付けてくださいね= 请注意不要惹上麻烦 
太腿に滴るぐらい、グショグショになりそうですね……= 滴到大腿上好像要湿透了...
好きなだけ、擦り付けて下さいね= 想擦多少就擦多少 
好きにして下さい……楽しんで欲しいです= 请随心所欲...我希望你喜欢 
妙に、緊張しますね= 奇怪的是，我很紧张
嬉しいです、してください= 请
嬉しいです、楽しい時間に終わりはありませんから= 我很高兴，因为乐趣永远不会结束 
射精したんですね……気持ち良かったですか= 你射精了……感觉好吗？
射精して……スッキリできましたか？= 射精……有没有爽快的感觉？
射精してくれて、嬉しいです= 我很高兴你射精了 
射精してもらえて、嬉しいです= 我很高兴你射精了 
射精しましたね= 你射精了
射精の快感が、身体中に伝わって来ます= 射精的快感传遍全身
射精の震えが私の中に、伝わって来ます= 射精的颤抖传给我
射精は……してないんですね= 你不射精，是吗？
小さいかも知れませんが、悪くないですよね？= 它可能很小，但还不错，对吧？
小さいからこそ、思い切り擦りますから= 因为它小，所以我会用力揉它
小さいですが……ちゃんと出来ていると思います= 虽小，但我觉得做的不错
小さいですけど……感じてますから= 很小，但我能感觉到 
少しくらいなら……途中で止められるはずです= 如果只是一点点……应该可以中途停下来
少しじれったいくらいが、気持ちいいと思います……= 有点郁闷，不过我觉得挺好的……
少し痛いだけですか？　だったら、大丈夫です= 只是有点痛吗？然后就好了
強い動きが……体に響いて来ます= 强烈的动作……在我的身体里回荡
強くて……すごく感じています= 好强啊。。。好有感觉
強く揉まれて……胸、すごく感じてます= 用力揉了揉……我的胸摸起来真好
強く擦られて……感じてます= 狠狠的擦了擦。。。我能感觉到
待っていた方がいいですか？= 我应该等待吗？
心臓が……ずっとバクバクいってます……= 我的心……一直在怦怦直跳……
忘れられない快感を……覚えちゃいました……= 难忘的快乐...我记得...
快感が上り詰めて、イキそうになってます……= 快感越来越强烈，我要高潮了...
快感が昇りつめて、もうイッちゃいそうです= 快感升到顶峰，看来我要走了
思いっ切り擦れば、小さい胸でも気持ちいいはずです= 尽量用力揉搓，小胸也应该手感不错
思い切りしても大丈夫ですよ= 全力以赴也没关系
恥ずかしかったです……でも、感じていました= 好尴尬。。。不过我觉得 
悪くないですよね……この動き= 还不错……这一招
感じさせてください= 让我感觉
感じさせて下さいね= 请让我感受一下 
感じちゃい、そうです……= 我能感觉到，是的...
感じて、しまってます……アナタの、視線で……= 我感觉到了，我把它收起来了……用你的眼睛……
感じてもらえたら良いのですが……= 我希望你能感受到它... 
感じてもらえて、良かったです= 我很高兴你感受到了 
感じます……もう、限界ですからぁ= 我能感觉到...我已经到了极限
感じ合えるのが、とても楽しみです= 我真的很期待认识彼此 
我事ながら、お尻が少し心配になります……= 我有点担心我的屁股... 
我慢したくても、身体が言うことを聞いてくれませんっ……= 就算我想忍，我的身体也不听我的……
我慢しないで、いっちゃって下さいね= 别拖，走开
我慢すると……余計に声が漏れてしまいそうです……= 如果我忍了……好像我的声音会泄露太多……
手で擦りますから、そっちはお願いしますね= 我会用手揉它，所以请这样做 
打たれたところが熱いです= 碰到的地方很烫 
振動が……激しくって、おかしくなりそうです= 震动……剧烈到快要发疯了
振動が……響いて来ます= 振动...回响 
振動で……体の奥まで、震えてきます= 振动...我在身体深处颤抖
揃っていくのって、気持ちいいですね= 在一起的感觉真好 
揃ってご奉仕しますから= 我们一起为您服务
撫でるように揉まれるのは……とてもゾクゾクします= 被揉得像在抚摸...好刺激
擦られて……熱いです= 擦了……好烫
擦り付けるのは、気持ちいいですか…？= 擦……感觉好吗？
改めて、OKしてくれてありがとうございます= 再次感谢 OK 
改めて、誘ってくれてありがとうございます= 再次感谢邀请我 
改めて見ると……本当にすごい量ですね……= 再看的时候。。。真的是惊人的数量。。
早く気持ち良くなりたいです= 我想快点好起来
早く繋がりたいんですよね？　私もです= 您想快速连接，对吗？我也是
早速始めましょうか= 让我们开始吧 
普通ではないエッチは、興奮しますね= 不寻常的性爱令人兴奋，不是吗 
最後まで、身体が持てばいいんですが……= 希望我的身体能坚持到最后...
最高に気持ち良かったです= 感觉很棒 
期待……していますね= 我很期待。
本当に……バレて、いませんよね……？= 真的……出来了是吧……？
本当に、トロトロしてますね= 我真的很困惑
本当に不思議な喉ごしです= 真是奇怪的喉咙
本気で、攻めないでくださいね？= 说真的，请不要攻击我，好吗？
根元まで、しっかり咥えますからね= 可以一直hold到根
楽しい時間にしましょうね= 让我们玩得开心 
楽しくて気持ちの良い時間にしたいです= 我想有一个有趣和愉快的时间 
楽しませてもらいますね= 我希望你喜欢 
楽しんでくれたみたいで、良かったですね= 我很高兴你喜欢它 )
次は、これをするんですね= 接下来，这样做
正直、美味しかったです= 老实说，很好吃 
気が付いたらいってしまってました……アナタってすごいですね= 等我意识到的时候，已经没了……你真厉害
気に入ってもらえたのなら、嬉しいです= 希望你们喜欢 
気に入ってもらえたんですね、嬉しいです= 我很高兴你喜欢它 )
気持ち、いいです……私、もういきそうですぅ= 感觉不错。。。我要走了
気持ちいいです……この感じ= 感觉不错。。。这种感觉
気持ちいいです……もっと激しくして下さい= 感觉不错。。。请加把力 
気持ちいいのが……止まりません = 感觉很好...它不会停止
気持ちいい事、始めましょう= 感觉不错，开始吧
気持ちいい事は、何度して大丈夫です= 感觉好的事情多做几次就好了
気持ちいい所……沢山責めますからね= 这是一个令人愉快的地方......我会责怪你很多
気持ちのいい、時間でした= 感觉不错，是时候了 
気持ちよくなってもらえたみたいで、良かったです……= 我很高兴它让你感觉好多了......
気持ち良かったです……でも、アナタにいってもらえなくて残念です= 感觉不错。。可惜你不能去 
気持ち良かったですか？= 你感觉好些了吗？
気持ち良かったですか？　何度でも感じて下さいね= 你感觉好些了吗？反复感受
気持ち良かったですか？　私達も嬉しいです= 你感觉好些了吗？我们也很开心
気持ち良かったんですね= 感觉不错
気持ち良く、なってもらえたんですね= 感觉很好，你能做到
気持ち良く、なりたいです= 感觉很好，想成为 
気持ち良くしてあげますね= 我会让你感觉更好 
気持ち良くして下さいね= 请让我感觉好一点
気持ち良くって……クセになりそうです= 感觉不错。。。会上瘾
気持ち良くなって、欲しいです= 感觉好一点，我想要 
気持ち良くなってくれたんですね。頑張った甲斐がありました= 你让我感觉好多了。值得付出努力
気持ち良くなりたいです= 我想感觉好些
気持ち良くなりたいですね= 我想感觉好些
気持ち良くなれたら嬉しいです= 我希望你感觉好些
気持ち良くイケましたか？= 你感觉好吗？
気持ち良すぎて……またいってしまいました= 感觉真好。。。我又去了 
沢山、動きますから……楽しんで下さい= 会有很多动静，请欣赏
沢山、射精しましたね……= 你射精很多... 
沢山、感じさせて、下さい= 请让我感触良多
沢山、気持ち良くなって下さいね= 我希望你感觉好些
沢山射精してもらって、嬉しいです= 我很高兴你射精很多
沢山感じたいです= 我想感受很多
沢山感じて下さいっ、アナタの大好きな胸で、ご奉仕してますからっ= 请多多感受，我会用你最喜欢的美胸服侍你
流石にあの量は、飲み込めませんでした= 果然那个量咽不下去
流石に二人が相手だから、かなり感じてしまいました= 两人果然是对手，感慨良多
満足するまで、お口を使ってください= 用你的嘴，直到你满意为止
準備は、いいですか？= 你准备好了吗？
準備は出来ていますので……いつでもどうぞ= 我准备好了，请随时过来
激しい動きで……感じて下さい= 伴随着剧烈的动作……感受它们
激しい動きに合わせて、アナタが反応していますね= 你是对暴力运动的反应
激しい動きも、悪くないですよね？　どうですかっ？= 剧烈运动并不坏，是吗？你怎么认为？
激しい揉まれ方……気持ちいいです= 如何被强烈摩擦...感觉很好
激しくされて……感度が増してるみたいです= 被暴力...我觉得我的敏感度在增加
激しくされると、声が出そうに……んんっ……= 如果你用力推我，我会发出声音...mmmm...
激しくされるの、いいです……= 暴力一点就好了。。。
激しくしたい、気分なんですか？= 你有心情努力吗？
激しくしたら……声が漏れそうです= 暴力的话……我的声音会漏出来
激しくて……どんどん、濡れてきてます= 好激烈……我越来越湿了 
激しくて……アソコがグショグショです= 这很激烈......我的鸡巴湿透了
激しくて……体中、熱いです= 好激烈啊。。。我全身发热
激しくて……痛みがマヒしそうです= 很剧烈。。。痛的好像要麻痹一样
激しくて、気持ちいいです……= 很激烈，感觉很好……
激しく擦り付けられて、すごくいいです= 用力擦，很好看
激しく擦ると……私まで感じて来ます……= 用力搓的话。。。我也能感觉到。。。
無茶はダメですよ？= 你不能鲁莽，对吧？
焦らすように、動きますから= 我会像逗弄一样移动
熱いのが……二つの穴から垂れてます= 有热的东西……从两个洞里往下滴
熱いのが……擦れて、気持ちいいです= 好烫。。。蹭上去感觉很好
熱いのが、中で震えてます……= 好热，我在里面发抖...
熱いのが、溢れてきました= 天热了，快溢出来了
熱いのが擦れて、気持ちいいです= 热度蹭上去，感觉不错
痛いくらいが、ちょうどいいんです……= 很痛，不过也刚刚好。。。
痛いですが、少し気持ちいいような……= 很痛，不过感觉好一点了...
痛いのが気持ちいいなんて……私、完全に変態ですね= 痛的感觉真好……我是个十足的色狼
痛いのに……すごく奇妙な感覚でした= 虽然很痛。。。很奇怪的感觉
痛いのに……またイッちゃいそうですぅ……= 虽然很疼。。。好像又要高潮了。。
痛いのは、あまり得意じゃありませんが……= 我不太擅长疼痛，但是... 
痛かったらすぐ言って下さい……調整しますから= 如果疼，马上告诉我……我会解决的
痛くて、気持ちいいです……= 又疼又舒服……
痛みが……快感に変わってました……= 痛苦……变成了快乐……
痛みが引かないうちに、始めましょうか= 让我们在疼痛消退之前开始吧 
痛みで……全身が……麻痺してきます……= 痛……全身……麻痹……
痛みで、熱くなってきます= 又痛又热
痛みでいくのって……最高ですね= 带着痛去……这样最好
白い精液が、爆発してるみたいです……= 白色的精液好像要炸开一样...
皆さんで楽しみたいです= 我想和大家一起玩
皆さんで頑張りましょう= 大家一起努力吧 
皆さんに素敵な時間をお届けしますね= 希望大家玩得开心 
皆さんに負けないよう頑張りますね= 我会努力不输给大家
皆でいい時間にしましょうね= 祝大家玩得开心 
皆でいっちゃいましたね……最高でした= 我们一起去了...这是最好的
皆でするのが楽しみです= 期待与大家见面
皆で一緒に、気持ち良くなりたいですね= 我想在一起感觉很好
皆で一緒にいくのって、楽しいですね= 和大家一起去很开心
皆で一緒にいけて、嬉しいです= 很高兴和大家在一起 
皆一緒にいけて、気持ち良かったです= 和大家在一起的感觉真好 
相変わらず、アナタの精液は熱いですね……= 和往常一样，你的精液是热的……
真白になるくらい、かけられました……= 被我涂多了变白了……
硬いものが当たって……気持ちいいです= 撞到硬东西感觉很好。
私……このままイッてしまいそうです……= 我……我想我要射了……
私……また、感じちゃってます……= 我……我又感觉到了……
私……またいっちゃいそうです……= 我……我想我会再来的……
私……またお尻でイッちゃいそうですっ……= 我……我想我又要用屁股高潮了……
私……もう、限界です……イキそうになっています……= 我……我快到极限了……我快要射了……
私……もうダメです……これ以上、持ちません……= 我……我受不了了……我再也受不了了……
私……アナタが相手だと、感じやすいみたいです= 我……好像很容易觉得自己是对方
私……イッてしまいそうです……= 我……我要射了……
私……痛みで、おかしくなっちゃいそうです……= 我……我痛得要疯了……
私……痛みで、また……いっちゃいそうです……= 我……痛，又……对了……
私、もう……もういきますぅ= 我已经……我去
私、キスって好きです……する瞬間も、してる最中も……= 我喜欢接吻...无论是接吻的时候还是接吻的时候...
私、本当に……いっちゃいそうです……= 我真的……就像……
私から、してみます= 从我开始，我会尝试
私が、してあげますからね= 我来做 
私がお役に立てたんでしょうか、心配です= 我不知道我有没有帮助
私が動きますから= 因为我动了
私が動けばいいんですね= 我只是需要移动
私が吐き出す姿……興奮しましたか？= 看到我吐出来的样子……兴奋吗？
私だけ、気持ち良くなってしまいました= 我是唯一感觉更好的人 
私だけイッてしまうなんて……= 我是唯一一个高潮的人... 
私とどんなことをしたいんですか？= 你想对我做什么 
私とのプレイ、楽しかったですか= 你喜欢和我一起玩吗
私と一緒に、気持ち良くなりましょうね= 和我在一起感觉更好
私と一緒にイキたいと……思ってくれているんですか？= 你觉得你想和我住在一起吗？
私に付き合ってくれてありがとうございます= 谢谢你陪我
私に任せてくれれば、大丈夫です= 交给我，你会没事的 
私に任せて下さい= 交给我吧
私に任せて下さいね= 交给我吧
私のお口で、気持ち良くなって下さいね= 请让我的嘴好受一些 
私のお口の具合はどうでしたか？= 我的嘴怎么样了？
私のお口は、気持ち良かったですか？= 我的嘴巴感觉好吗？
私のお尻に、アナタのものが……ドキドキしますね……= 我的屁股上有关于你的东西……这很令人兴奋……
私のご奉仕を期待して……もうこんなになってますね= 期待我的服务……已经这样了
私のなかで、お二人が射精しています= 在我体内，有两个人在射精 
私のも、気持ちいいですか？= 你也对我有好感吗？
私のオナニーが見たいんですか……？= 你想看我自慰吗...？
私の中で、またビクビク震えています……= 我内心又开始颤抖了...
私の動き……感じて下さい= 感受我的动作...
私の味はどうですか？　気に入ってもらえたなら嬉しいです……= 你觉得我的品味怎么样？我希望你喜欢它... 
私の声……聴かれてていませんよね……？= 我的声音……你听不见我……？
私の方が……アナタより感度が良いんでしょうか……？= 我……比你敏感……？
私の痴態は……アナタの目にどう映りましたか？= 我的傻……怎么会出现在你的眼里？
私の胸……たっぷり揉んでくださいね= 请揉揉我的乳房。
私の胸で……射精して下さい……= 请射在我胸口...
私の胸で……気持ち良くなって下さい= 在我的胸口……舒服点
私の胸は気持ちいいですか？　柔らかい所で、もっと擦りますね= 我的乳房感觉好吗？用柔软的地方多搓
私の腰が、勝手に動き出してる感じですっ……= 感觉我的臀部开始自己动了... 
私の腰使いで、感じてください= 在我的臀部，感觉它 
私の舌、たっぷり味わって下さい= 请尝尝我的舌头 
私の責めで、気持ち良くなって下さい= 都是我的错，请自重
私の足に興味があったんですか？= 好奇我的脚吗？
私の足に興奮しているのが分かりますよ= 你可以看到我对我的脚有多兴奋
私の身体が、イキたがっていますぅ= 我的身体想活
私は、続けたいと思っていました= 我想继续
私は準備できてますから……いつでも大丈夫ですよ= 我准备好了...任何时候都可以
私は続けても大丈夫ですけど……= 我可以继续，但是... 
私ばっかり、気持ちよくなって、申し訳ないです= 对不起只有我一个人觉得舒服 
私まで……イッちゃってました……= 就连我……都高潮了……
私も、お二人もいけて、良かったです= 我很高兴你和我能够去 )
私も、まだできますよ= 我还是可以的
私も、頑張りますね= 我也会努力的 
私もたくさん攻めていきます= 我也会攻击很多
私も忘れないで下さいね= 也不要忘记我
私も続きを期待していました= 我也希望更多
私を……感じさせようと、しているんですか？= 你是想让我觉得... 
私をたくさんカせて、満足できましたか……？= 你对你给我的钱满意吗……？
私をイカせておいて……アナタは、イッてないんですか？= 让我乌贼...你没有高潮吗？
私を吊るして、どんなことをするんでしょうか？= 你要吊死我做什么？
私を苛めたいんですね= 你想折磨我
私達、二人でいっちゃいましたね= 我们一起去了
私達が、ご奉仕しますから= 我们会服务 
私達が上ですね= 我们在上面
私達だけいきました……少し悔しいですね= 只有我们去了……有点郁闷
私達だけいっちゃいましたね……気持ち良かったですよ= 我们是那里唯一的人......感觉很好
私達だけがいっちゃうなんて……= 只有我们去... 
私達だけイッちゃうなんて……アナタは我慢強いですね= 我们是唯一能达到性高潮的人……你很有耐心，不是吗？
私達で一緒にご奉仕しますからね= 我们一起服侍
私達のご奉仕、どうでしたか？= 我们的服务怎么样？
私達のご奉仕、気にいってくれたみたいですね= 看来您喜欢我们的服务 
精液が、垂れて来てます……= 我的精液在滴...
精液がかかった所が、すごく熱いです= 精液溅到的地方很烫
精液の量、全然減っていませんね= 精液量完全没有减少 
精液はどろどろですね= 精液是糊状的
素直に声を……出してしまいたいです……= 我真的很想...发出我的声音...
素股って、気持ちいいんですか？= 腿间性爱，你觉得好吗？
素股も、気持ちいいから好きですよ= 我也喜欢腿间性爱，因为感觉很好
結構強くしていますが、平気そうですね= 挺强的，不过好像还行
結構楽しみです= 好期待 
絶対に、声を出さないようにします……= 我一定会尽量不说出来的...
続けてくれるんですか？　大丈夫です……どうぞ……= 你会继续吗？没关系...继续...
続けてくれるんですか？　嬉しいです= 你会继续吗？高兴
続けてくれるんですね、嬉しいです= 我很高兴你继续
続けるなら、好きにしていいですよ。お付き合いします= 如果你想继续，你可以做任何你想做的事。遇见你
続けるなんて……怖いもの知らずですね= 继续就是……无所畏惧
続けるんですか？　あまり無理はしないで下さいね= 你想继续吗？请不要过度 
続けるんですか？　それじゃあお願いしますね= 你想继续吗？那么请
続けるんですか？　今度こそバレますよ？= 你想继续吗？这次你会发现吗？
続けるんですね……分かりました= 你要继续......好吧
続けるんですね……名案だと思います= 你要继续...我认为这是个好主意 
続けるんですね？　わかりました、いいですよ= 你要继续吗？好的好的
緊張感のある、エッチでした……= 这是紧张和色情... 
繰り返し、しますからね= 重复，我来做 
繰り返しても、気持ち良かったです= 复读感觉不错
胸……もっと激しく動かしますね= 胸部...我会更猛烈地移动它
胸……ゆっくり楽しんでください= 胸部……请慢慢享受
胸……気持ち良く弄って下さい= 乳房...请放心玩它们
胸、好きなだけ揉み解して下さい……揉みごたえ、あるでしょう？= 想怎么揉就怎么揉胸部……感觉是应该揉的对不对？
胸でゆっくり擦りますから……こういうの、好きですよね= 我会用我的胸部慢慢揉它......我喜欢这个，不是吗
胸で強く擦ると……私も感じて来ちゃいそうですっ= 如果你用你的胸部用力揉它……我好像也会感觉到）
胸にするの……アナタは、好きそうですね……= 放在胸前。。。你好像挺喜欢的。。
腫れて来そうです= 好像要膨胀了 
腰が、激しく動いて……私もう、我慢できませんっ= 我的腰在剧烈地动来动去。。。我受不了了 
自分で……慰めてしまいましょう= 自我安慰一下吧。。
自分でシたい気分です……= 我感觉我想自杀了。。。
興奮、してくれていますか？= 你兴奋吗？
舌でご奉仕してあげますね= 我会用我的舌头为你服务
苦しかったら言って下さいね= 痛不痛请告诉我
見られながらのオナニー……不思議な高揚感です= 边看边自慰……莫名的爽快感
見られながら自分でなんて、恥ずかしいです……= 在被人注视的时候做你自己是很尴尬的... 
誘ったからには、頑張ってアナタにも気持ち良くなってもらいます= 既然邀请了你，我就尽量让你开心
足ですか……なんだか、興奮しそうですね= 腿？
足ですね……なんとかできるように頑張ってみます= 是腿...我会尽力解决它
足は力加減が難しいですね……気持ちいいですか？= 很难调节腿部的力量……感觉好吗？
足をはじき返す力が、すごく強いですね= 反弹的力量很强
身体が……すごく熱くなってきました= 我的身体……好热
身体が、求めています……= 我的身体想要...
身体が、熱くなっています……= 我的身体越来越热了... 
身体は熱いのに……冷や汗をかいてます……= 虽然我的身体很热...我冷汗流汗...
身体中、アナタの精液まみれですよ……= 我的全身都被你的精液覆盖了...
軽快に叩くんですね……= 你打的轻了……
途中で止めないで、最後まで出し切って下さい= 不要中途停下来，全力以赴
遠慮してませんか？　アナタの好きにしていいですから……= 你在回避吗？你可以做任何你想做的事...
遠慮してるんですか？　大丈夫ですよ、準備は出来てますから……= 你在回避吗？没关系，我准备好了...
重くないですよね？= 不重吧？
量が多かったですけど、ちゃんと飲みました= 很多，但我喝得很好
随分とたくさん、出したみたいですね……= 看起来你放了很多...
静かにしないと……ダメなのに……= 我必须安静...这不好... 
頑張って……沢山動かしますから= 努力吧...我会动很多
頑張って、たっぷりご奉仕しますね= 我会尽力为你服务的
頑張って、気持ち良くしますからね= 我会尽力让你感觉更好 
頑張って、耐えてみます……= 我会尽力而为... 
頑張りますね= 我会努力的 
食い込んで、痛いです= 挖进去，好痛
最後まで、身体が持てばいいんですが……= 希望我的身体能坚持到最后...
２本ともしっかりご奉仕しますから= 我会尽力为双方服务
２本もあるから、ご奉仕するのが大変ですね= 有两个，好难伺候
３人でできることを色々やってみたいです= 我想做我们三个人可以做的各种事情 
３人でのエッチ……ドキドキしますね= 和我们三个做爱……很刺激，不是吗？

